Wall time,Step,Value
1747243668.7737134,465,0.0
1747243767.5953064,658,0.0
1747244011.3730536,1132,0.0
1747244426.6335506,1940,0.0
1747244436.9449067,1960,0.0
1747244813.922125,2693,0.0
1747244826.37711,2717,0.0
1747245107.6616495,3265,0.0
1747245546.7850518,4121,0.0
1747245577.691953,4181,0.0
1747246131.389124,5262,0.0
1747246148.1072147,5295,0.0
1747246182.0189884,5362,0.0
1747246228.7592046,5454,0.0
1747246421.1341531,5832,0.0
1747246438.5781019,5866,0.0
1747246505.1858423,5997,0.0
1747246533.723918,6053,0.0
1747246648.4869459,6279,0.0
1747246676.5653076,6334,0.0
1747246877.5066817,6730,0.0
1747246938.4798687,6850,0.0
1747247009.9798594,6991,0.0
1747247237.3970852,7436,0.0
1747247251.7810366,7464,0.0
1747247344.258044,7644,0.0
1747247677.5930183,8291,0.0
1747247809.7290444,8548,0.0
1747247812.823499,8554,0.0
1747247885.0017068,8694,0.0
1747247914.5571184,8752,0.0
1747248120.9457886,9152,0.0
1747248172.1325314,9252,0.0
1747248192.2664506,9291,0.0
1747248407.944756,9712,0.0
1747248429.1247208,9753,0.0
1747248472.3904643,9837,0.0
1747248501.7200446,9894,0.0
1747248513.4385567,9917,0.0
1747248529.8398871,9949,0.0
1747248545.1377866,9979,0.0
1747248588.5170538,10063,0.0
1747248654.0810523,10191,0.0
1747248783.9662557,10445,0.0
1747248821.247136,10518,0.0
1747248886.0150125,10645,0.0
1747249080.8874493,11023,0.0
1747249130.0050309,11118,0.0
1747249491.680314,11819,0.0
1747249599.0087729,12027,0.0
1747249624.1180112,12076,0.0
1747249767.417813,12354,0.0
1747249830.1561568,12476,0.0
1747250051.744434,12905,0.0
1747250255.2059507,13304,0.0
1747250297.8498023,13388,0.0
1747250366.0640275,13522,0.0
1747250508.132414,13802,0.0
1747250532.0300248,13849,0.0
1747250594.13601,13971,0.0
1747250936.084074,14645,0.0
1747251041.1671202,14851,0.0
1747251150.1291826,15065,0.0
1747251308.0850732,15371,0.0
1747251431.982245,15610,0.0
1747251756.5963197,16241,1.0
1747252077.3355644,16866,1.0
1747252086.017128,16883,1.0
1747252098.1730187,16907,1.0
1747252721.8775063,18121,1.0
1747252726.102116,18129,1.0
1747252730.2090948,18137,1.0
1747252907.5213883,18481,1.0
1747253050.8409245,18759,0.0
1747253069.1566932,18795,0.0
1747253282.5211344,19209,0.0
1747253339.399474,19319,0.0
1747253369.3010778,19377,0.0
1747253433.1416304,19501,0.0
1747253456.2530649,19546,0.0
1747253492.858211,19617,0.0
1747254008.3121452,20618,0.0
1747254022.661991,20646,0.0
1747254122.9810789,20841,0.0
1747254187.9819295,20968,0.0
1747254222.9650035,21036,0.0
1747254340.1749644,21267,0.0
1747254795.0679345,22162,0.0
1747255069.207856,22702,0.0
1747255477.1898015,23500,0.0
1747255975.8673494,24469,0.0
1747256125.2553778,24758,0.0
1747256218.095542,24938,0.0
1747256245.4680653,24991,0.0
1747256477.9060066,25444,0.0
1747256583.5287752,25649,-1.0
1747256726.9530928,25929,-1.0
1747257094.1481543,26646,-1.0
1747257433.927141,27308,-1.0
1747257735.5411487,27894,-1.0
1747257792.9801264,28006,-1.0
1747257842.4731066,28102,-1.0
1747258198.657119,28794,1.0
1747258463.3978732,29310,1.0
1747258554.8235993,29490,1.0
1747258592.8555691,29565,1.0
1747258628.8633761,29636,1.0
1747258649.605791,29677,1.0
1747258727.8715956,29831,1.0
1747258841.6756139,30055,1.0
1747258854.411784,30080,1.0
1747258966.2671301,30300,1.0
1747259300.8402247,30959,1.0
1747259304.8857896,30967,1.0
1747259513.5221882,31376,0.0
1747259530.7890491,31410,0.0
1747259658.9011376,31660,0.0
1747259809.797769,31953,0.0
1747259841.1770408,32014,0.0
1747260252.421143,32811,0.0
1747260259.0285113,32824,0.0
1747260711.2784064,33701,1.0
1747260763.7010357,33803,1.0
1747260795.327741,33864,1.0
1747261353.2798612,34951,1.0
1747261361.4391932,34967,1.0
1747261450.3242514,35140,1.0
1747261489.9330754,35217,1.0
1747261623.637052,35477,1.0
1747261661.841104,35551,1.0
1747261740.8983052,35704,1.0
1747261848.9367483,35913,1.0
1747262250.3066936,36694,0.0
1747262351.4807892,36891,0.0
1747262405.7731626,36996,0.0
1747262441.1761503,37065,0.0
1747262501.1930528,37182,0.0
1747262751.9091268,37674,0.0
1747262789.9454873,37749,0.0
1747263113.0247405,38386,0.0
1747263113.5280364,38387,0.0
1747263124.1689997,38408,0.0
1747263326.046532,38805,0.0
1747263343.280763,38839,0.0
1747263437.8643796,39025,0.0
1747263725.7170193,39588,-1.0
1747263789.4970531,39712,-1.0
1747263992.1812224,40110,-1.0
1747264056.9730768,40236,-1.0
1747264063.6181033,40249,-1.0
1747264106.1629994,40332,-1.0
1747264149.3981311,40416,-1.0
1747264212.8590238,40540,-1.0
1747264252.7641783,40617,-1.0
1747264419.921136,40942,-1.0
1747264641.653058,41374,-1.0
1747264692.5090725,41473,-1.0
1747264947.1345794,41968,0.0
1747264969.7231667,42012,0.0
1747265030.9252648,42131,0.0
1747265200.8004017,42461,0.0
1747265238.43112,42535,0.0
1747265402.2442937,42855,0.0
1747265595.6158078,43231,0.0
