Wall time,Step,Value
1747243668.7737308,465,334.0
1747243767.5953233,658,334.0
1747244011.3730705,1132,334.0
1747244426.6335676,1940,334.0
1747244436.944923,1960,334.0
1747244813.9221423,2693,334.0
1747244826.3771265,2717,334.0
1747245107.6616657,3265,334.0
1747245546.785069,4121,334.0
1747245577.6919699,4181,334.0
1747246131.389141,5262,336.0
1747246148.1072314,5295,337.0
1747246182.0190048,5362,337.0
1747246228.7592263,5454,337.0
1747246421.1342242,5832,340.0
1747246438.5781734,5866,340.0
1747246505.185916,5997,340.0
1747246533.7239912,6053,340.0
1747246648.486972,6279,341.0
1747246676.5653791,6334,341.0
1747246877.506753,6730,341.0
1747246938.479915,6850,341.0
1747247009.9799316,6991,341.0
1747247237.3971024,7436,341.0
1747247251.7810535,7464,341.0
1747247344.2580612,7644,341.0
1747247677.593037,8291,341.0
1747247809.729061,8548,341.0
1747247812.8235154,8554,341.0
1747247885.0017233,8694,341.0
1747247914.5571353,8752,341.0
1747248120.9458072,9152,341.0
1747248172.1325536,9252,341.0
1747248192.2664676,9291,341.0
1747248407.9447737,9712,341.0
1747248429.124737,9753,341.0
1747248472.3904812,9837,341.0
1747248501.7200608,9894,341.0
1747248513.4385734,9917,341.0
1747248529.839903,9949,341.0
1747248545.1378083,9979,341.0
1747248588.51707,10063,341.0
1747248654.0810685,10191,341.0
1747248783.9662724,10445,342.0
1747248821.2471523,10518,342.0
1747248886.0150297,10645,342.0
1747249080.8874662,11023,342.0
1747249130.0050485,11118,342.0
1747249491.680331,11819,342.0
1747249599.00879,12027,342.0
1747249624.1180289,12076,342.0
1747249767.417831,12354,342.0
1747249830.1561742,12476,342.0
1747250051.7444515,12905,342.0
1747250255.205968,13304,345.0
1747250297.8498757,13388,346.0
1747250366.0640554,13522,346.0
1747250508.1324413,13802,347.0
1747250532.030084,13849,347.0
1747250594.136027,13971,347.0
1747250936.0841484,14645,348.0
1747251041.1671937,14851,348.0
1747251150.129209,15065,348.0
1747251308.0850897,15371,348.0
1747251431.9822617,15610,348.0
1747251756.5963368,16241,349.0
1747252077.3355868,16866,349.0
1747252086.0171454,16883,349.0
1747252098.1730368,16907,349.0
1747252721.877523,18121,349.0
1747252726.1021333,18129,349.0
1747252730.2091117,18137,349.0
1747252907.5214088,18481,349.0
1747253050.8409421,18759,349.0
1747253069.1567101,18795,349.0
1747253282.521152,19209,349.0
1747253339.3994908,19319,349.0
1747253369.3010952,19377,349.0
1747253433.1416478,19501,349.0
1747253456.2530844,19546,349.0
1747253492.8582287,19617,349.0
1747254008.3121626,20618,349.0
1747254022.6620085,20646,349.0
1747254122.9810965,20841,349.0
1747254187.9819467,20968,350.0
1747254222.9650204,21036,352.0
1747254340.1749814,21267,354.0
1747254795.0680077,22162,356.0
1747255069.2079268,22702,356.0
1747255477.1898186,23500,356.0
1747255975.8673666,24469,356.0
1747256125.2553961,24758,356.0
1747256218.0955591,24938,356.0
1747256245.468082,24991,356.0
1747256477.9060235,25444,356.0
1747256583.5287921,25649,356.0
1747256726.9531145,25929,357.0
1747257094.1481764,26646,357.0
1747257433.927158,27308,357.0
1747257735.5411694,27894,357.0
1747257792.9801433,28006,357.0
1747257842.4731238,28102,357.0
1747258198.657136,28794,357.0
1747258463.3978899,29310,359.0
1747258554.8236167,29490,360.0
1747258592.8556569,29565,361.0
1747258628.8634303,29636,362.0
1747258649.6058621,29677,362.0
1747258727.8716128,29831,363.0
1747258841.675721,30055,363.0
1747258854.4118564,30080,363.0
1747258966.267157,30300,363.0
1747259300.8402421,30959,363.0
1747259304.885848,30967,363.0
1747259513.522205,31376,364.0
1747259530.7890663,31410,364.0
1747259658.9011564,31660,364.0
1747259809.7977865,31953,364.0
1747259841.1770577,32014,364.0
