Wall time,Step,Value
1747243668.7737384,465,20040.0
1747243767.5953314,658,20040.0
1747244011.373078,1132,20040.0
1747244426.633575,1940,20040.0
1747244436.9449315,1960,20040.0
1747244813.9221501,2693,20040.0
1747244826.3771338,2717,20040.0
1747245107.6616735,3265,20040.0
1747245546.7850761,4121,20040.0
1747245577.6919773,4181,20040.0
1747246131.3891487,5262,20102.0
1747246148.107239,5295,20108.0
1747246182.0190125,5362,20119.0
1747246228.759236,5454,20135.0
1747246421.1342566,5832,20199.0
1747246438.5782063,5866,20205.0
1747246505.185948,5997,20228.0
1747246533.724025,6053,20238.0
1747246648.4869843,6279,20277.0
1747246676.565411,6334,20287.0
1747246877.506786,6730,20355.0
1747246938.4799352,6850,20376.0
1747247009.979964,6991,20401.0
1747247237.3971097,7436,20460.0
1747247251.781062,7464,20460.0
1747247344.2580686,7644,20460.0
1747247677.5930448,8291,20460.0
1747247809.7290683,8548,20460.0
1747247812.8235226,8554,20460.0
1747247885.0017312,8694,20460.0
1747247914.557143,8752,20460.0
1747248120.945816,9152,20460.0
1747248172.132563,9252,20460.0
1747248192.2664752,9291,20460.0
1747248407.9447827,9712,20460.0
1747248429.1247444,9753,20460.0
1747248472.3904889,9837,20460.0
1747248501.7200685,9894,20460.0
1747248513.4385808,9917,20460.0
1747248529.839911,9949,20460.0
1747248545.137818,9979,20460.0
1747248588.517078,10063,20460.0
1747248654.081076,10191,20460.0
1747248783.9662797,10445,20481.0
1747248821.2471597,10518,20491.0
1747248886.0150375,10645,20508.0
1747249080.8874738,11023,20520.0
1747249130.0050561,11118,20520.0
1747249491.6803386,11819,20520.0
1747249599.0087974,12027,20520.0
1747249624.1180365,12076,20520.0
1747249767.4178388,12354,20520.0
1747249830.1561818,12476,20520.0
1747250051.7444587,12905,20520.0
1747250255.2059755,13304,20571.0
1747250297.8499088,13388,20586.0
1747250366.0640676,13522,20609.0
1747250508.132454,13802,20658.0
1747250532.0301104,13849,20666.0
1747250594.1360347,13971,20688.0
1747250936.0841815,14645,20806.0
1747251041.1672263,14851,20842.0
1747251150.1292217,15065,20879.0
1747251308.0850973,15371,20880.0
1747251431.9822695,15610,20880.0
1747251756.5963445,16241,20905.0
1747252077.3355963,16866,20940.0
1747252086.0171528,16883,20940.0
1747252098.1730442,16907,20940.0
1747252721.87753,18121,20940.0
1747252726.1021414,18129,20940.0
1747252730.2091193,18137,20940.0
1747252907.521418,18481,20940.0
1747253050.8409495,18759,20940.0
1747253069.1567178,18795,20940.0
1747253282.5211596,19209,20940.0
1747253339.3994982,19319,20940.0
1747253369.301103,19377,20940.0
1747253433.141656,19501,20940.0
1747253456.253093,19546,20940.0
1747253492.8582363,19617,20940.0
1747254008.3121703,20618,20940.0
1747254022.6620162,20646,20940.0
1747254122.9811044,20841,20940.0
1747254187.9819548,20968,20950.0
1747254222.965028,21036,20959.0
1747254340.174989,21267,20999.0
1747254795.0680401,22162,21157.0
1747255069.2079587,22702,21253.0
1747255477.1898263,23500,21360.0
1747255975.8673742,24469,21360.0
1747256125.2554042,24758,21360.0
1747256218.0955667,24938,21360.0
1747256245.4680893,24991,21360.0
1747256477.9060311,25444,21360.0
1747256583.5287998,25649,21360.0
1747256726.9531245,25929,21387.0
1747257094.1481864,26646,21420.0
1747257433.9271657,27308,21420.0
1747257735.541179,27894,21420.0
1747257792.9801514,28006,21420.0
1747257842.473132,28102,21420.0
1747258198.6571434,28794,21420.0
1747258463.3978972,29310,21450.0
1747258554.8236241,29490,21481.0
1747258592.8556833,29565,21494.0
1747258628.863454,29636,21506.0
1747258649.6058936,29677,21513.0
1747258727.8716204,29831,21540.0
1747258841.6757543,30055,21579.0
1747258854.4118893,30080,21584.0
1747258966.267169,30300,21623.0
1747259300.8402503,30959,21740.0
1747259304.8858745,30967,21742.0
1747259513.522213,31376,21801.0
