Wall time,Step,Value
1747978146.8571186,244,2585549.0
1747978259.4873195,465,2585862.0
1747978305.8011847,556,2585989.0
1747978357.8214488,658,2586123.0
1747978432.3011081,804,2586385.0
1747978545.3161623,1026,2586676.0
1747978599.2531269,1132,2586818.0
1747978765.5874684,1458,2587276.0
1747978792.3132222,1510,2587352.0
1747979012.909077,1940,2587964.0
1747979023.3741457,1960,2588025.0
1747979305.2932038,2503,2589541.0
1747979403.6223369,2693,2589954.0
1747979415.9171433,2717,2589994.0
1747979694.285498,3265,2590738.0
1747979847.2185137,3566,2591093.0
1747980129.531177,4121,2591737.0
1747980160.0278108,4181,2591819.0
1747980671.4545836,5187,2593138.0
1747980709.610275,5262,2593271.0
1747980726.2841392,5295,2593302.0
1747980760.2684748,5362,2593375.0
1747980806.9738452,5454,2593469.0
1747980916.4779701,5667,2594140.0
1747981001.4943676,5832,2594640.0
1747981019.0050073,5866,2594753.0
1747981078.076136,5981,2595178.0
1747981086.3011081,5997,2595224.0
1747981115.0261822,6053,2595417.0
1747981231.5011985,6279,2596146.0
1747981259.9976487,6334,2596304.0
1747981464.4184802,6730,2597544.0
1747981526.2344131,6850,2597956.0
1747981598.9530745,6991,2598424.0
1747981828.0730844,7436,2599922.0
1747981842.5674028,7464,2600008.0
1747981935.4086857,7644,2600577.0
1747981979.804079,7730,2600856.0
1747982267.0827398,8291,2602100.0
1747982397.8750618,8548,2602422.0
1747982400.9090395,8554,2602427.0
1747982433.3749375,8618,2602495.0
1747982472.223205,8694,2602583.0
1747982501.694658,8752,2602634.0
1747982513.9818077,8776,2602668.0
1747982705.5370314,9152,2603092.0
1747982756.323592,9252,2603191.0
1747982776.124952,9291,2603229.0
1747982794.4298215,9327,2603258.0
1747982810.660806,9359,2603306.0
1747982990.7912917,9712,2603700.0
1747983011.6273506,9753,2603752.0
1747983054.452287,9837,2603870.0
1747983083.6835008,9894,2603924.0
1747983095.3133712,9917,2603949.0
1747983111.5266309,9949,2603994.0
1747983126.7527547,9979,2604043.0
1747983169.4554567,10063,2604168.0
1747983198.9168777,10121,2604245.0
1747983234.3824017,10191,2604309.0
1747983363.4594705,10445,2604631.0
1747983401.3320723,10518,2604707.0
1747983465.8580832,10645,2604894.0
1747983660.1504393,11023,2605896.0
1747983709.0209858,11118,2606191.0
1747984070.6622932,11819,2608522.0
1747984095.3811567,11867,2608672.0
1747984177.749095,12027,2609189.0
1747984203.2446544,12076,2609358.0
1747984346.649253,12354,2610265.0
1747984409.3413005,12476,2610684.0
1747984630.5891347,12905,2612113.0
1747984836.1978407,13304,2613269.0
1747984878.9257243,13388,2613432.0
1747984946.994433,13522,2613595.0
1747984961.196397,13550,2613623.0
1747985008.1620584,13642,2613774.0
1747985010.6954741,13647,2613784.0
1747985089.3727605,13802,2613950.0
1747985113.2959404,13849,2613989.0
1747985175.46235,13971,2614139.0
1747985213.5205407,14046,2614219.0
1747985285.6773078,14188,2614402.0
1747985517.8849149,14645,2614993.0
1747985568.7528582,14745,2615136.0
1747985622.6538317,14851,2615242.0
1747985629.2286801,14864,2615258.0
1747985731.1345956,15065,2615543.0
1747985886.7305267,15371,2615920.0
1747986008.070458,15610,2616198.0
1747986330.2492921,16241,2617402.0
1747986635.8519084,16834,2619364.0
1747986652.2001786,16866,2619486.0
1747986660.8202572,16883,2619538.0
1747986673.1232102,16907,2619616.0
1747986693.5815148,16947,2619753.0
1747987299.3097513,18121,2623497.0
1747987303.4579594,18129,2623520.0
1747987307.5827706,18137,2623544.0
1747987484.6256464,18481,2624673.0
1747987625.7114987,18759,2625160.0
1747987628.771416,18765,2625165.0
1747987644.1510093,18795,2625201.0
1747987803.6932535,19109,2625620.0
1747987854.4932315,19209,2625729.0
1747987910.4171062,19319,2625849.0
1747987940.037539,19377,2625903.0
1747988002.9493334,19501,2626081.0
1747988025.7507749,19546,2626134.0
1747988061.9021468,19617,2626208.0
1747988255.7023232,19999,2626694.0
1747988569.881003,20618,2627410.0
1747988584.1255655,20646,2627465.0
1747988683.092074,20841,2627796.0
1747988747.6648536,20968,2627989.0
1747988782.1942017,21036,2628093.0
1747988790.3409398,21052,2628106.0
1747988830.254475,21129,2628202.0
1747988900.334254,21267,2628412.0
1747989111.2951388,21676,2629662.0
1747989311.3730857,22063,2630886.0
1747989362.206271,22162,2631208.0
1747989639.8602078,22702,2632945.0
1747989830.3258848,23071,2634083.0
1747989848.2727742,23106,2634188.0
1747990051.4570706,23500,2635437.0
1747990499.6770217,24378,2637282.0
1747990545.9368114,24469,2637385.0
1747990672.6958702,24718,2637711.0
1747990692.9951775,24758,2637772.0
1747990728.7607055,24828,2637849.0
1747990784.5348234,24938,2637966.0
1747990811.557468,24991,2638023.0
1747990872.8508124,25112,2638144.0
1747991041.4525657,25444,2638571.0
1747991145.471872,25649,2638832.0
1747991287.4031982,25929,2639185.0
1747991515.39568,26377,2639903.0
1747991654.222469,26646,2640761.0
1747991741.3696222,26816,2641309.0
1747991842.8290734,27014,2641930.0
1747991994.2171628,27308,2642900.0
1747992243.4931414,27792,2644510.0
1747992264.4210942,27833,2644652.0
1747992295.648142,27894,2644850.0
1747992353.1618726,28006,2645197.0
1747992402.471827,28102,2645517.0
1747992758.5794697,28794,2647717.0
1747992849.24827,28972,2647968.0
1747992855.3197134,28984,2647987.0
1747993020.5897331,29310,2648366.0
1747993112.097745,29490,2648650.0
1747993150.3500478,29565,2648751.0
1747993186.3312392,29636,2648827.0
1747993207.1345522,29677,2648887.0
1747993285.4190922,29831,2649054.0
1747993307.229447,29874,2649110.0
1747993399.4363954,30055,2649329.0
1747993412.1871908,30080,2649364.0
1747993524.2417312,30300,2649656.0
1747993729.3948772,30703,2650107.0
1747993838.9389687,30919,2650412.0
1747993859.1961877,30959,2650477.0
1747993863.2443285,30967,2650489.0
1747994072.5651402,31376,2651292.0
1747994089.9793103,31410,2651393.0
1747994220.4371529,31660,2652185.0
1747994353.54339,31918,2653049.0
1747994371.473114,31953,2653178.0
1747994383.4562783,31976,2653245.0
1747994403.0137072,32014,2653359.0
1747994815.0391357,32811,2655946.0
1747994821.777137,32824,2655989.0
1747995055.9492,33279,2657490.0
1747995122.973161,33408,2657905.0
1747995273.2079587,33701,2658654.0
1747995325.3786025,33803,2658798.0
1747995356.2902026,33864,2658877.0
1747995908.3800888,34951,2660236.0
1747995916.5087543,34967,2660249.0
1747996004.2828732,35140,2660465.0
1747996043.4566028,35217,2660606.0
1747996175.3429854,35477,2661004.0
1747996213.0274878,35551,2661125.0
1747996290.6510873,35704,2661345.0
1747996397.1401222,35913,2661603.0
1747996414.8624225,35948,2661645.0
1747996696.1459908,36501,2662413.0
1747996795.261126,36694,2663034.0
1747996896.7700183,36891,2663677.0
1747996902.8852992,36903,2663716.0
1747996950.9125884,36996,2664009.0
1747996986.317076,37065,2664244.0
