Wall time,Step,Value
1748172456.0250852,172,0.0
1748172492.5090964,244,0.0
1748172500.1131315,259,0.0
1748172605.1777325,465,0.0
1748172628.0660498,510,0.0
1748172651.609066,556,0.0
1748172703.6140695,658,0.0
1748172777.9986138,804,0.0
1748172891.710219,1026,0.0
1748172897.389803,1037,0.0
1748172946.4257095,1132,0.0
1748172973.0541866,1184,0.0
1748173017.8970618,1271,0.0
1748173093.0456824,1417,0.0
1748173114.3472242,1458,0.0
1748173132.934235,1494,0.0
1748173141.2131033,1510,0.0
1748173160.8012323,1548,0.0
1748173169.4656935,1565,0.0
1748173362.973496,1940,0.0
1748173373.217083,1960,0.0
1748173632.8057332,2462,0.0
1748173653.9873536,2503,0.0
1748173692.29494,2577,0.0
1748173746.792533,2684,0.0
1748173751.3639174,2693,0.0
1748173758.9931118,2708,0.0
1748173763.5963,2717,0.0
1748173949.373603,3083,0.0
1748173960.7301116,3105,0.0
1748174029.9738913,3241,0.0
1748174042.1069057,3265,0.0
1748174088.452857,3356,0.0
1748174195.4665127,3566,0.0
1748174212.7264464,3600,0.0
1748174240.130451,3654,0.0
1748174247.3046663,3668,0.0
1748174248.827894,3671,0.0
1748174372.711972,3915,0.0
1748174427.6785383,4023,0.0
1748174471.3188155,4109,0.0
1748174477.3922105,4121,0.0
1748174508.0185993,4181,0.0
1748174531.410485,4227,0.0
1748174582.8555539,4328,0.0
1748174702.8614736,4564,0.0
1748174839.499485,4832,1.0
1748174970.764633,5090,1.0
1748174994.180171,5136,1.0
1748175020.2066503,5187,1.0
1748175026.7777777,5200,1.0
1748175058.2972023,5262,1.0
1748175075.1289191,5295,1.0
1748175109.1425,5362,1.0
1748175156.3124316,5454,1.0
1748175265.5251079,5667,1.0
1748175350.4412234,5832,0.0
1748175367.735024,5866,0.0
1748175374.486287,5879,0.0
1748175427.275749,5981,0.0
1748175435.55706,5997,0.0
1748175464.3915474,6053,0.0
1748175508.3692317,6138,0.0
1748175553.1676,6225,0.0
1748175580.9135969,6279,0.0
1748175608.9820766,6334,0.0
1748175626.8890722,6369,0.0
1748175729.4781427,6569,0.0
1748175812.037157,6730,0.0
