Wall time,Step,Value
1748272358.9730756,18,-1.0
1748272373.705016,47,-1.0
1748272381.2889986,62,-1.0
1748272381.7951057,63,-1.0
1748272394.9489813,89,-1.0
1748272402.053011,103,-1.0
1748272404.0822208,107,-1.0
1748272414.6630583,128,-1.0
1748272432.9231436,164,-1.0
1748272436.999701,172,-1.0
1748272446.6078491,191,-1.0
1748272452.6928742,203,-1.0
1748272465.8534303,229,-1.0
1748272473.4530408,244,-1.0
1748272481.0663745,259,-1.0
1748272492.7580547,282,-1.0
1748272494.281874,285,-1.0
1748272510.0535944,316,-1.0
1748272511.572355,319,-1.0
1748272535.449004,366,-1.0
1748272545.6891685,386,-1.0
1748272553.7982109,402,-1.0
1748272560.4500723,415,-1.0
1748272571.709029,437,-1.0
1748272576.3212907,446,-1.0
1748272586.020073,465,-1.0
1748272591.155689,475,-1.0
1748272594.1966066,481,-1.0
1748272609.0683963,510,-1.0
1748272620.7210264,533,-1.0
1748272623.3276932,538,-1.0
1748272624.338236,540,-1.0
1748272632.4990213,556,-1.0
1748272635.5770423,562,-1.0
1748272651.881017,594,-1.0
1748272652.8952909,596,-1.0
1748272673.8306384,637,-1.0
1748272676.9656727,643,-1.0
1748272677.4730148,644,-1.0
1748272684.5714116,658,-1.0
1748272693.263081,675,-1.0
1748272716.7030802,721,-1.0
1748272738.5536587,764,-1.0
1748272744.1766045,775,-1.0
1748272758.9530513,804,-1.0
1748272786.0435412,857,-1.0
1748272790.6127217,866,-1.0
1748272800.7890115,886,-1.0
1748272829.3965154,942,-1.0
1748272858.4609945,999,-1.0
1748272866.5530276,1015,-1.0
1748272870.1130636,1022,-1.0
1748272872.16527,1026,-1.0
1748272877.7960384,1037,-1.0
1748272887.5246944,1056,-1.0
1748272895.2142067,1071,-1.0
1748272898.2452366,1077,-1.0
1748272914.4651215,1109,-1.0
1748272915.4777784,1111,-1.0
1748272922.5770848,1125,-1.0
1748272926.12506,1132,-1.0
1748272935.8230934,1151,-1.0
1748272936.331498,1152,-1.0
1748272942.4167268,1164,-1.0
1748272947.5610754,1174,-1.0
1748272948.5739412,1176,-1.0
1748272952.7680562,1184,-1.0
1748272970.0522327,1218,-1.0
1748272987.3529952,1252,-1.0
1748272988.393019,1254,-1.0
1748272989.9088984,1257,-1.0
1748272991.9577012,1261,-1.0
1748272994.9999716,1267,-1.0
1748272997.0318072,1271,-1.0
1748273024.6092339,1325,-1.0
1748273034.7250147,1345,-1.0
1748273050.1850023,1375,1.0
1748273050.6929972,1376,1.0
1748273071.5721092,1417,1.0
1748273091.9590201,1457,1.0
1748273092.4621706,1458,1.0
1748273110.8050056,1494,1.0
1748273114.8891194,1502,1.0
1748273118.9382505,1510,1.0
1748273120.4916198,1513,1.0
1748273138.3167186,1548,1.0
1748273139.8417282,1551,1.0
1748273147.0430925,1565,1.0
1748273148.5731225,1568,1.0
1748273157.328987,1585,1.0
1748273162.969024,1596,1.0
1748273178.7531905,1627,1.0
1748273182.8503015,1635,1.0
1748273200.6566682,1670,1.0
1748273208.2951021,1685,1.0
1748273217.0395586,1702,1.0
1748273218.0550814,1704,1.0
1748273221.5970557,1711,1.0
1748273255.381003,1777,1.0
1748273290.9550896,1847,1.0
1748273297.5885308,1860,1.0
1748273301.1369824,1867,1.0
1748273317.5034118,1899,1.0
1748273319.0314035,1902,1.0
1748273322.613068,1909,1.0
1748273338.4656694,1940,1.0
1748273348.6889658,1960,1.0
1748273349.1919522,1961,1.0
1748273358.3489895,1979,1.0
1748273404.8380733,2070,1.0
1748273409.4210262,2079,1.0
1748273414.4890492,2089,1.0
1748273420.054257,2100,1.0
1748273475.8793285,2209,1.0
1748273491.1530013,2239,1.0
1748273532.204973,2319,1.0
1748273552.7528894,2359,1.0
1748273570.5669806,2394,1.0
1748273592.1089504,2436,1.0
1748273594.7926388,2441,1.0
1748273601.3768852,2454,1.0
1748273605.5810847,2462,1.0
1748273607.1822045,2465,1.0
1748273617.3701096,2485,1.0
1748273626.6295583,2503,1.0
1748273633.7480166,2517,1.0
1748273634.7624931,2519,1.0
1748273640.5059767,2530,1.0
1748273664.6090648,2577,1.0
1748273665.1331651,2578,1.0
1748273676.0724614,2599,1.0
1748273690.4197607,2627,1.0
1748273694.6082625,2635,1.0
1748273698.7863452,2643,1.0
1748273719.813071,2684,1.0
1748273724.4650714,2693,1.0
1748273732.1769881,2708,1.0
1748273736.823631,2717,1.0
1748273745.5593293,2734,1.0
1748273748.6420963,2740,1.0
1748273755.289005,2753,1.0
1748273755.8301208,2754,1.0
1748273756.3369615,2755,1.0
1748273761.4120047,2765,1.0
1748273762.9699366,2768,1.0
1748273771.692993,2785,1.0
1748273785.4330084,2812,1.0
1748273796.629116,2834,1.0
1748273801.6847758,2844,1.0
1748273810.283111,2861,1.0
1748273840.6700654,2921,1.0
1748273856.367094,2952,1.0
1748273857.8846946,2955,1.0
1748273861.4227052,2962,1.0
1748273867.0261796,2973,1.0
1748273898.1814387,3034,1.0
1748273904.761265,3047,1.0
1748273923.0649672,3083,1.0
1748273923.570015,3084,1.0
1748273933.1776693,3103,1.0
1748273933.6825063,3104,1.0
1748273934.1967459,3105,1.0
1748273941.2710042,3119,1.0
1748273941.7756605,3120,1.0
1748273942.2808511,3121,1.0
1748273954.6851873,3145,1.0
1748273968.9010513,3173,1.0
1748273978.5629063,3192,1.0
1748273982.1022704,3199,1.0
1748273991.2449791,3217,1.0
1748273992.762731,3220,1.0
1748274003.4040325,3241,1.0
1748274015.7262673,3265,1.0
1748274017.2408738,3268,1.0
1748274036.479794,3306,1.0
1748274053.6945958,3340,1.0
1748274061.8030312,3356,1.0
1748274076.6570213,3385,1.0
1748274086.3414662,3404,1.0
1748274115.3306837,3461,1.0
1748274126.46929,3483,1.0
1748274126.9736285,3484,1.0
1748274130.5410407,3491,1.0
1748274135.2380898,3500,1.0
1748274148.4109027,3526,1.0
1748274168.7163103,3566,1.0
1748274170.2348812,3569,1.0
1748274185.978073,3600,1.0
1748274192.838735,3613,1.0
1748274194.353021,3616,1.0
1748274213.6446831,3654,1.0
1748274215.1673567,3657,1.0
1748274216.1797636,3659,1.0
1748274217.1916554,3661,1.0
1748274218.706233,3664,1.0
1748274220.7366788,3668,1.0
1748274222.257661,3671,1.0
1748274231.8833144,3690,1.0
1748274243.0490322,3712,1.0
1748274245.5830977,3717,1.0
1748274268.1387026,3761,1.0
1748274278.786595,3782,1.0
1748274312.289228,3848,1.0
1748274313.3042386,3850,1.0
1748274322.93531,3869,1.0
1748274339.6779866,3902,-1.0
1748274344.2646449,3911,-1.0
1748274346.2913115,3915,-1.0
1748274349.3357518,3921,-1.0
1748274355.421488,3933,-1.0
1748274356.944413,3936,-1.0
1748274376.8328855,3975,-1.0
1748274395.6358056,4012,-1.0
1748274396.6492777,4014,-1.0
1748274401.2207527,4023,-1.0
1748274406.8245628,4034,-1.0
1748274409.8744304,4040,-1.0
1748274413.440741,4047,-1.0
1748274432.3355598,4084,-1.0
1748274445.0244052,4109,-1.0
1748274448.0821028,4115,-1.0
1748274451.127744,4121,-1.0
1748274452.6422873,4124,-1.0
1748274463.8779786,4146,-1.0
1748274481.6663625,4181,-1.0
1748274487.3518972,4192,-1.0
1748274505.1718125,4227,-1.0
1748274520.4477577,4257,-1.0
1748274551.4963388,4318,-1.0
1748274556.6052933,4328,-1.0
1748274590.7781212,4395,-1.0
1748274615.2772403,4443,-1.0
1748274620.8547022,4454,-1.0
1748274656.9490185,4525,-1.0
1748274662.1158874,4535,-1.0
1748274664.158805,4539,-1.0
1748274676.8630836,4564,-1.0
1748274699.8160474,4609,-1.0
1748274701.3496628,4612,-1.0
1748274720.1071668,4649,-1.0
1748274725.201894,4659,-1.0
1748274738.9848757,4686,-1.0
1748274741.0178747,4690,-1.0
1748274742.0326316,4692,-1.0
1748274745.073085,4698,-1.0
1748274749.6233997,4707,-1.0
1748274761.3516145,4730,-1.0
1748274764.9315941,4737,-1.0
1748274776.0965047,4759,-1.0
1748274784.7471616,4776,-1.0
1748274785.2527018,4777,-1.0
1748274800.4822984,4807,-1.0
1748274812.2018056,4830,-1.0
1748274813.2221696,4832,-1.0
1748274814.7413778,4835,-1.0
1748274815.2517335,4836,-1.0
1748274819.3280702,4844,-1.0
1748274838.8325207,4882,-1.0
1748274853.0857282,4910,-1.0
1748274862.737217,4929,-1.0
1748274868.3438745,4940,-1.0
1748274872.9414473,4949,-1.0
1748274888.6646087,4980,-1.0
1748274894.508369,4991,-1.0
1748274922.9190502,5047,-1.0
1748274932.5322046,5066,-1.0
1748274939.1381936,5079,1.0
1748274943.7480094,5088,1.0
1748274944.7660334,5090,1.0
1748274966.2106092,5132,1.0
1748274968.2310941,5136,1.0
1748274970.2584386,5140,1.0
1748274975.8255858,5151,1.0
1748274977.3709376,5154,1.0
1748274977.8787456,5155,1.0
1748274994.1325657,5187,1.0
1748275000.7311795,5200,1.0
1748275009.8611257,5218,1.0
1748275013.523006,5225,1.0
