Wall time,Step,Value
1748330361.1433005,18,60.0
1748330375.847507,47,60.0
1748330383.4661589,62,60.0
1748330383.9730535,63,60.0
1748330388.0410721,71,60.0
1748330397.1730933,89,60.0
1748330404.297081,103,60.0
1748330406.325043,107,60.0
1748330416.9842193,128,60.0
1748330418.0010972,130,60.0
1748330431.769143,157,60.0
1748330433.2903218,160,60.0
1748330435.3121085,164,60.0
1748330439.3603134,172,60.0
1748330449.0092359,191,60.0
1748330455.1131773,203,60.0
1748330468.31413,229,60.0
1748330475.9208505,244,60.0
1748330476.4290745,245,60.0
1748330483.5290544,259,60.0
1748330489.6337736,271,60.0
1748330495.2081244,282,60.0
1748330496.7337341,285,60.0
1748330512.4770308,316,60.0
1748330513.997034,319,60.0
1748330527.709062,346,60.0
1748330533.7970269,358,60.0
1748330537.8454025,366,60.0
1748330544.102783,378,60.0
1748330548.1611855,386,60.0
1748330556.2606034,402,60.0
1748330562.8551233,415,60.0
1748330573.5764067,436,60.0
1748330574.078801,437,60.0
1748330578.6717713,446,60.0
1748330586.3450632,461,60.0
1748330588.4131467,465,60.0
1748330593.4890585,475,60.0
1748330596.0256586,480,60.0
1748330596.5287898,481,60.0
1748330611.2601247,510,60.0
1748330622.9572005,533,60.0
1748330625.489088,538,60.0
1748330626.520277,540,60.0
1748330634.661701,556,60.0
1748330637.7090538,562,60.0
1748330651.9972472,590,60.0
1748330654.0211036,594,60.0
1748330655.0299308,596,60.0
1748330671.8618467,629,60.0
1748330675.9210424,637,60.0
1748330678.9450407,643,60.0
1748330679.4530795,644,60.0
1748330686.6285102,658,60.0
1748330691.2170599,667,60.0
1748330695.3670063,675,60.0
1748330718.9673452,721,60.0
1748330720.9978175,725,60.0
1748330741.081208,764,60.0
1748330746.6696827,775,60.0
1748330750.2290566,782,60.0
1748330753.3522058,788,60.0
1748330761.4361546,804,60.0
1748330775.9210389,832,60.0
1748330788.6337383,857,60.0
1748330793.2170029,866,60.0
1748330803.349077,886,60.0
1748330831.8694253,942,60.0
1748330860.8850448,999,60.0
1748330863.4170837,1004,60.0
1748330868.9930882,1015,60.0
1748330872.5611842,1022,60.0
1748330874.593145,1026,60.0
1748330875.6081877,1028,60.0
1748330880.2558658,1037,60.0
1748330889.9233005,1056,60.0
1748330897.5570402,1071,60.0
1748330900.6378365,1077,60.0
1748330911.341731,1098,60.0
1748330916.936001,1109,60.0
1748330917.95095,1111,60.0
1748330925.0211325,1125,60.0
1748330928.617097,1132,60.0
1748330938.245077,1151,60.0
1748330938.7737348,1152,60.0
1748330944.8697355,1164,60.0
1748330949.9536645,1174,60.0
1748330950.9651022,1176,60.0
1748330955.0399082,1184,60.0
1748330972.4900532,1218,60.0
1748330976.1140435,1225,60.0
1748330986.7891,1246,60.0
1748330989.8287783,1252,60.0
1748330990.8410494,1254,60.0
1748330992.4050498,1257,60.0
1748330994.437047,1261,60.0
1748330997.5026534,1267,60.0
1748330999.533032,1271,60.0
1748331002.08756,1276,60.0
1748331013.2451684,1298,60.0
1748331027.1536279,1325,60.0
1748331037.4225485,1345,60.0
1748331047.1227026,1364,60.0
