Wall time,Step,Value
1748330361.1433434,18,112136.0
1748330375.8475494,47,112136.0
1748330383.4662056,62,112136.0
1748330383.9730976,63,112136.0
1748330388.0411184,71,112136.0
1748330397.17314,89,112136.0
1748330404.2971284,103,112136.0
1748330406.325085,107,112136.0
1748330416.9842646,128,112136.0
1748330418.0011387,130,112136.0
1748330431.7691948,157,112136.0
1748330433.2903645,160,112136.0
1748330435.312151,164,112136.0
1748330439.3603542,172,112136.0
1748330449.0092835,191,112136.0
1748330455.113219,203,112136.0
1748330468.3141727,229,112136.0
1748330475.920892,244,112136.0
1748330476.4291172,245,112136.0
1748330483.5290954,259,112136.0
1748330489.633816,271,112136.0
1748330495.2081664,282,112136.0
1748330496.7337747,285,112136.0
1748330512.4770737,316,112136.0
1748330513.997077,319,112136.0
1748330527.7091055,346,112136.0
1748330533.7970679,358,112136.0
1748330537.845445,366,112136.0
1748330544.102827,378,112136.0
1748330548.1612282,386,112136.0
1748330556.2606456,402,112136.0
1748330562.8551755,415,112136.0
1748330573.57645,436,112136.0
1748330574.0788484,437,112136.0
1748330578.6718144,446,112136.0
1748330586.3451052,461,112136.0
1748330588.413189,465,112136.0
1748330593.4891012,475,112136.0
1748330596.0257015,480,112136.0
1748330596.5288327,481,112136.0
1748330611.2601676,510,112136.0
1748330622.957243,533,112136.0
1748330625.48913,538,112136.0
1748330626.520319,540,112136.0
1748330634.6617439,556,112136.0
1748330637.709098,562,112136.0
1748330651.997289,590,112136.0
1748330654.0211456,594,112136.0
1748330655.0299733,596,112136.0
1748330671.8618894,629,112136.0
1748330675.921084,637,112136.0
1748330678.9450831,643,112136.0
1748330679.453123,644,112136.0
1748330686.6285546,658,112136.0
1748330691.2171028,667,112136.0
1748330695.3670628,675,112136.0
1748330718.9674,721,112136.0
1748330720.9978607,725,112136.0
1748330741.0812514,764,112136.0
1748330746.669725,775,112136.0
1748330750.2290983,782,112136.0
1748330753.3522494,788,112136.0
1748330761.4361968,804,112136.0
1748330775.921081,832,112136.0
1748330788.633783,857,112136.0
1748330793.2170455,866,112136.0
1748330803.3491223,886,112136.0
1748330831.8694682,942,112136.0
1748330860.8850873,999,112136.0
1748330863.4171264,1004,112136.0
1748330868.9931302,1015,112136.0
1748330872.5612261,1022,112136.0
1748330874.5931861,1026,112136.0
1748330875.6082318,1028,112136.0
1748330880.2559075,1037,112136.0
1748330889.923342,1056,112136.0
1748330897.5570824,1071,112136.0
1748330900.6378803,1077,112136.0
1748330911.3417726,1098,112136.0
1748330916.9360437,1109,112136.0
1748330917.9509923,1111,112136.0
1748330925.0211751,1125,112136.0
1748330928.6171393,1132,112136.0
1748330938.2451193,1151,112136.0
1748330938.7737782,1152,112136.0
1748330944.8697784,1164,112136.0
1748330949.9537067,1174,112136.0
1748330950.9651556,1176,112136.0
1748330955.0399508,1184,112136.0
1748330972.4900947,1218,112136.0
1748330976.1140864,1225,112136.0
1748330986.7891428,1246,112136.0
1748330989.8288207,1252,112136.0
1748330990.8410993,1254,112136.0
1748330992.4050934,1257,112136.0
1748330994.4370902,1261,112136.0
1748330997.5026963,1267,112136.0
1748330999.5330734,1271,112136.0
1748331002.0876112,1276,112136.0
1748331013.2452106,1298,112136.0
1748331027.1536703,1325,112136.0
1748331037.4225907,1345,112136.0
1748331047.1227443,1364,112136.0
1748331052.7358313,1375,112136.0
1748331053.2397847,1376,112136.0
1748331074.1211433,1417,112136.0
1748331085.406244,1439,112136.0
1748331094.738996,1457,112136.0
1748331095.2460437,1458,112136.0
1748331113.770349,1494,112136.0
1748331117.940442,1502,112136.0
1748331121.9970903,1510,112136.0
1748331123.5138505,1513,112136.0
1748331141.5607674,1548,112136.0
1748331143.077108,1551,112136.0
1748331150.233122,1565,112136.0
1748331151.7543018,1568,112136.0
1748331154.4371285,1573,112136.0
1748331160.6127307,1585,112136.0
1748331166.301097,1596,112136.0
1748331182.150874,1627,112136.0
1748331186.2171304,1635,112136.0
1748331204.181191,1670,112136.0
1748331211.8477738,1685,112136.0
1748331220.6010604,1702,112136.0
1748331221.611201,1704,112136.0
1748331223.1612349,1707,112136.0
1748331225.2072005,1711,112136.0
1748331258.1342268,1775,112136.0
1748331259.145137,1777,112136.0
1748331265.3632991,1789,112136.0
1748331266.8977263,1792,112136.0
1748331295.3781312,1847,112136.0
1748331297.4170794,1851,112136.0
1748331302.0731003,1860,112136.0
1748331305.7218862,1867,112136.0
1748331322.2730808,1899,112136.0
1748331323.7922466,1902,112136.0
1748331326.8669357,1908,112136.0
1748331327.3844814,1909,112136.0
1748331335.037696,1924,112136.0
1748331341.2490644,1936,112136.0
1748331343.2771597,1940,112136.0
1748331345.8100886,1945,112136.0
1748331346.825139,1947,112136.0
1748331353.5792623,1960,112136.0
1748331354.1064434,1961,112136.0
1748331363.317184,1979,112136.0
1748331410.3486376,2070,112136.0
1748331414.9128475,2079,112136.0
1748331420.0055165,2089,112136.0
1748331425.6380658,2100,112136.0
1748331433.297194,2115,112136.0
1748331435.3210955,2119,112136.0
1748331445.7018912,2139,112136.0
1748331474.0662858,2194,112136.0
1748331481.7651567,2209,112136.0
1748331484.8092098,2215,112136.0
1748331497.0210955,2239,112136.0
1748331499.5652146,2244,112136.0
1748331538.0051162,2319,112136.0
1748331549.8454134,2342,112136.0
1748331558.5370896,2359,112136.0
1748331576.4691017,2394,112136.0
1748331597.9850726,2436,112136.0
1748331600.5479949,2441,112136.0
1748331607.251061,2454,112136.0
1748331611.4086447,2462,112136.0
1748331612.9747386,2465,112136.0
1748331623.3091252,2485,112136.0
1748331629.9500916,2498,112136.0
1748331632.4690516,2503,112136.0
1748331639.6738746,2517,112136.0
1748331640.6806228,2519,112136.0
1748331646.3970914,2530,112136.0
1748331670.5972407,2577,112136.0
1748331671.1138997,2578,112136.0
1748331682.0721698,2599,112136.0
1748331696.5265424,2627,112196.0
1748331700.5841706,2635,112196.0
1748331704.6682386,2643,112196.0
