Wall time,Step,Value
1748330361.143246,18,-1.0
1748330375.8474536,47,-1.0
1748330383.466105,62,-1.0
1748330383.973001,63,-1.0
1748330388.0410178,71,-1.0
1748330397.1730392,89,-1.0
1748330404.2970262,103,-1.0
1748330406.3249922,107,-1.0
1748330416.984164,128,-1.0
1748330418.001047,130,-1.0
1748330431.7690847,157,-1.0
1748330433.290262,160,-1.0
1748330435.312056,164,-1.0
1748330439.3602545,172,-1.0
1748330449.009179,191,-1.0
1748330455.1131217,203,-1.0
1748330468.3140802,229,-1.0
1748330475.9207997,244,-1.0
1748330476.429024,245,-1.0
1748330483.529004,259,-1.0
1748330489.6337223,271,-1.0
1748330495.20807,282,-1.0
1748330496.733683,285,-1.0
1748330512.4769795,316,-1.0
1748330513.9969845,319,-1.0
1748330527.7090106,346,-1.0
1748330533.7969756,358,-1.0
1748330537.845351,366,-1.0
1748330544.10273,378,-1.0
1748330548.1611345,386,-1.0
1748330556.2605422,402,-1.0
1748330562.8550673,415,-1.0
1748330573.5763466,436,-1.0
1748330574.0787494,437,-1.0
1748330578.671723,446,-1.0
1748330586.345014,461,-1.0
1748330588.413097,465,-1.0
1748330593.489007,475,-1.0
1748330596.0256054,480,-1.0
1748330596.5287387,481,-1.0
1748330611.2600722,510,-1.0
1748330612.2770257,512,-1.0
1748330612.7835438,513,-1.0
1748330622.9571497,533,-1.0
1748330625.4890375,538,-1.0
1748330626.5202258,540,-1.0
1748330634.6616497,556,-1.0
1748330637.709003,562,-1.0
1748330651.9971962,590,-1.0
1748330654.0210547,594,-1.0
1748330655.029879,596,-1.0
1748330671.8617973,629,-1.0
1748330675.9209917,637,-1.0
1748330678.9449897,643,-1.0
1748330679.4530263,644,-1.0
1748330686.628458,658,-1.0
1748330691.2170093,667,-1.0
1748330695.3669484,675,-1.0
1748330718.967285,721,-1.0
1748330720.9977672,725,-1.0
1748330741.081158,764,-1.0
1748330746.6696315,775,-1.0
1748330750.229007,782,-1.0
1748330753.3521543,788,-1.0
1748330761.4361033,804,-1.0
1748330775.920988,832,-1.0
1748330788.633683,857,-1.0
1748330793.216949,866,-1.0
1748330803.349026,886,-1.0
1748330831.869375,942,-1.0
1748330860.8849924,999,-1.0
1748330863.417032,1004,-1.0
1748330868.9930365,1015,-1.0
1748330872.5611331,1022,-1.0
1748330874.5930932,1026,-1.0
1748330875.608136,1028,-1.0
1748330880.2558138,1037,-1.0
1748330889.92325,1056,-1.0
1748330897.5569894,1071,-1.0
1748330900.6377861,1077,-1.0
1748330911.341682,1098,-1.0
1748330916.9359493,1109,-1.0
1748330917.9509015,1111,-1.0
1748330925.0210786,1125,-1.0
1748330928.6170466,1132,-1.0
1748330938.2450266,1151,-1.0
1748330938.7736835,1152,-1.0
1748330944.869685,1164,-1.0
1748330949.953616,1174,-1.0
1748330950.9650416,1176,-1.0
1748330955.0398545,1184,-1.0
1748330959.6570568,1193,-1.0
1748330972.4899993,1218,-1.0
